libsysprof-capture 49.0-2.1
libtasn1 4.21.0-1.1
libtatsu 1.0.5-1.1
libteam 1.32-3.1
libthai 0.1.30-1.1
libtheora 1.2.0-1.1
libtiff 4.7.1-1.1
libtirpc 1.3.7-1.1
libtommath 1.3.0-2.1
libtool 2.6.0-4
libtraceevent 1:1.9.0-1.1
libtracefs 1.8.3-1.1
libtsan 15.2.1+r604+g0b99615a8aef-2
libubsan 15.2.1+r604+g0b99615a8aef-2
libunibreak 6.1-1.2
libunistring 1.4.1-1.1
libunwind 1.8.2-1.1
liburcu 0.15.6-1.1
liburing 2.14-1.1
libusb 1.0.29-1.1
libusbmuxd 2.1.1-2.1
libutempter 1.2.3-1.1
libuv 1.52.1-1
libva 2.23.0-1.1
libva-nvidia-driver 0.0.16-1.2
libvdpau 1.5-4.1
libverto 0.3.2-5.1
libvlc 3.0.22-1.1
libvorbis 1.3.7-4.1
libvpl 2.16.0-2.1
libvpx 1.16.0-2.1
libwacom 2.18.0-2
libwbclient 2:4.24.0-1.1
libwebp 1.6.0-2.1
libwireplumber 0.5.13-2.2
libx11 1.8.13-1.1
libxau 1.0.12-1.1
libxaw 1.0.16-1.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcrypt-compat 4.5.2-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.7-1.1
libxdmcp 1.1.5-1.2
libxdp 1.6.2-1.1
libxext 1.3.7-1.1
libxfixes 6.0.2-1.1
libxfont2 2.0.7-1.1
libxft 2.3.9-1.2
libxi 1.8.2-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.1-1.1
libxkbcommon-x11 1.13.1-1.1
libxkbfile 1.2.0-1.1
libxml2 2.15.2-1.1
libxmlb 0.3.25-1.1
libxmu 1.3.1-1.1
libxnvctrl 595.45.04-1
libxpm 3.5.18-1.1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.1
libxres 1.2.3-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.7-1.1
libyaml 0.2.5-3.1
libyuv r2426+464c51a03-1.1
libzip 1.11.4-1.2
licenses 20240728-1
lilv 0.26.4-1
linux-api-headers 1:6.19-1
linux-cachyos 6.19.9-1
linux-cachyos-headers 6.19.9-1
linux-cachyos-nvidia-open 6.19.9-1
linux-firmware 1:20260309-1
linux-firmware-amdgpu 1:20260309-1
linux-firmware-atheros 1:20260309-1
linux-firmware-broadcom 1:20260309-1
linux-firmware-cirrus 1:20260309-1
linux-firmware-intel 1:20260309-1
linux-firmware-mediatek 1:20260309-1
linux-firmware-nvidia 1:20260309-1
linux-firmware-other 1:20260309-1
linux-firmware-radeon 1:20260309-1
linux-firmware-realtek 1:20260309-1
linux-firmware-whence 1:20260309-1
lksctp-tools 1.0.21-1.3
lld 22.1.1-1.1
llvm 22.1.1-2
llvm-libs 22.1.1-2
lm_sensors 1:3.6.2-1.1
lmdb 0.9.35-1.1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.6-1.1
lua 5.5.0-2.2
lua54 5.4.8-6.1
luajit 2.1.1772619647+659a616-1.1
lutris 0.5.22-1
lv2 1.18.10-2.1
lxc 1:6.0.6-1.1
lxcfs 6.0.6-1.1
lz4 1:1.10.0-3
lzo 2.10-5.1
m4 1.4.21-2.1
mailcap 2.1.54-2
make 4.4.1-2.1
malcontent 0.13.1-1.1
man-db 2.13.1-1.1
man-pages 6.17-1
mangohud 0.8.2-3.1
marisa 0.2.7-1.1
md4c 0.5.2-1.1
mdadm 4.6-1
media-player-info 26-1
mesa 2:26.0.3-2
mesa-utils 9.0.0-7.1
milou 6.6.3-1.1
miniupnpc 2.3.3-3.1
minizip 1:1.3.2-3.1
mkinitcpio 40-5
mkinitcpio-busybox 1.36.1-1.1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1.1
modemmanager-qt 6.24.0-2.1
mpdecimal 4.0.1-3.1
mpfr 4.2.2-1.1
mpg123 1.33.4-1.1
mtdev 1.1.7-1.1
nano 8.7.1-1.1
ncurses 6.6-2.1
ndctl 82-1.1
netavark 1.17.2-1.1
nettle 3.10.2-1.1
networkmanager 1.56.0-1
networkmanager-qt 6.24.0-2.1
nftables 1:1.1.6-3
noto-fonts 1:2026.03.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.03.01-1
npth 1.8-1.1
nspr 4.38.2-1.1
nss 3.122-1.1
ntfsprogs-plus 1.0.0-1
numactl 2.0.19-1
nvidia-settings 595.45.04-1
nvidia-utils 595.45.04-2
ocean-sound-theme 6.6.3-1
ocl-icd 2.3.4-1.1
okular 25.12.3-1.1
onetbb 2022.3.0-4
oniguruma 6.9.10-1.1
openal 1.25.1-1.1
opencc 1.2.0-2.1
opencore-amr 0.1.6-2.1
opencv 4.13.0-2.1
openexr 3.4.7-2.1
openjpeg2 2.5.4-1.1
openjph 0.26.3-3.1
openssh 10.2p1-2.1
openssl 3.6.1-1.1
openxr 1.1.57-1.1
opus 1.6.1-1.1
orc 0.4.42-1.1
ostree 2025.7-3
oxygen 6.6.3-1.1
oxygen-cursors 6.6.3-1.1
oxygen-icons 1:6.1.0-2
oxygen-sounds 6.6.3-1
p11-kit 0.26.2-1.1
packagekit 1.3.4-1.1
packagekit-qt6 1.1.4-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1.2
pacman-mirrorlist 20260213-1
pahole 1:1.31-2.1
pam 1.7.2-2.1
pambase 20250719-1
pango 1:1.57.0-2.1
parted 3.6-2.1
passt 2026_01_20.386b5f5-1.1
patch 2.8-1.1
pciutils 3.14.0-1.1
pcre 8.45-4.1
pcre2 10.47-1.1
pcsclite 2.4.1-1.1
perl 5.42.1-1.1
